,Unnamed: 0,num student,mean of arm 1,variance of arm 1,mean of arm 2,variance of arm 2,ttest difference,num student of arm 1,num student of arm 2,mean
0,226210,762.0,14.81360201511335,133.33,12.994520547945204,136.86,0.0315,397.0,365.0,13.94225721784777
1,237447,692.0,23.1580547112462,20.759,21.50964187327824,39.848,8e-05,329.0,363.0,22.29335260115607
2,241501,273.0,14.73913043478261,39.859,11.533333333333331,37.612,3e-05,138.0,135.0,13.153846153846152
3,241622,627.0,14.372781065088756,63.471,11.761245674740485,75.587,0.00011,338.0,289.0,13.169059011164274
4,243393,1797.0,17.75934065934066,131.657,17.481397970687713,135.163,0.61034,910.0,887.0,17.622148024485252
5,246482,457.0,18.844827586206897,127.217,18.59111111111111,130.953,0.8119,232.0,225.0,18.719912472647703
6,246627,514.0,18.19713261648745,129.298,17.49787234042553,137.841,0.49616,279.0,235.0,17.877431906614785
7,246647,538.0,21.83941605839416,89.909,21.678030303030305,91.347,0.84454,274.0,264.0,21.760223048327138
8,250476,169.0,19.554054054054053,47.22,16.842105263157894,80.996,0.0286,74.0,95.0,18.02958579881657
9,255116,534.0,14.186046511627907,75.004,12.467391304347826,84.408,0.02677,258.0,276.0,13.297752808988765
10,256017,232.0,17.320388349514563,73.46,16.031007751937985,83.72,0.27256,103.0,129.0,16.603448275862068
11,256027,164.0,18.04,77.772,17.853932584269664,73.046,0.89226,75.0,89.0,17.9390243902439
12,259379,329.0,7.818181818181818,78.006,7.794285714285714,87.341,0.98106,154.0,175.0,7.805471124620061
13,263015,242.0,18.74125874125874,79.381,17.484848484848484,102.028,0.32183,143.0,99.0,18.227272727272727
14,263052,382.0,13.220430107526882,114.408,12.83673469387755,108.433,0.7235,186.0,196.0,13.023560209424083
15,263057,129.0,18.420289855072465,45.635,18.35,44.027,0.95301,69.0,60.0,18.387596899224807
16,263109,280.0,18.804878048780488,45.523,18.61206896551724,55.513,0.82538,164.0,116.0,18.725
17,263115,380.0,20.993865030674847,83.012,20.433179723502302,87.204,0.55839,163.0,217.0,20.673684210526314
18,293151,348.0,15.757575757575758,67.487,13.98148148148148,87.509,0.06535,132.0,216.0,14.655172413793103
19,303899,928.0,20.42004264392324,62.781,20.30718954248366,65.102,0.83005,469.0,459.0,20.36422413793104
20,377658,306.0,21.779310344827586,22.406,21.236024844720497,35.224,0.37617,145.0,161.0,21.49346405228758
21,377938,239.0,21.42982456140351,58.543,20.632,58.841,0.42406,114.0,125.0,21.01255230125523
